,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box,category_map,brand_encoding,online_only_No,online_only_Yes,exclusive_No,exclusive_Yes,limited_edition_No,limited_edition_Yes,rating_map
174,Carolina Herrera,Perfume,4.5,2.2347417840375585,4.287663223543169,96.0,Yes,No,No,9.726295563932634,3,45,0,1,1,0,1,0,1
175,Carolina Herrera,Perfume,4.5,0.0093896713615023,0.1754044045994932,96.0,Yes,No,No,9.726295563932634,3,45,0,1,1,0,1,0,1
176,Carolina Herrera,Perfume,4.0,-0.244131455399061,-0.3129994153186513,124.0,No,No,No,10.76359478028962,3,45,1,0,1,0,1,0,1
177,Carolina Herrera,Perfume Gift Sets,5.0,-0.244131455399061,-0.2983823816020269,122.0,No,No,Yes,10.69530969343442,1,45,1,0,1,0,0,1,1
178,Carolina Herrera,Cologne,5.0,0.4976525821596244,0.0194893782888325,72.0,No,No,No,8.651025360870298,2,45,1,0,1,0,1,0,1
179,Carolina Herrera,Perfume,4.0,1.1549295774647887,0.3702981874878191,84.0,No,No,No,9.215713848773868,3,45,1,0,1,0,1,0,1
180,Carolina Herrera,Perfume,4.5,0.9389671361502347,0.1364256480218281,86.0,No,No,No,9.304217753435424,3,45,1,0,1,0,1,0,1
181,Carolina Herrera,Cologne,4.5,0.1971830985915492,-0.3009160007795751,92.0,No,Yes,No,9.561348581144523,2,45,1,0,0,1,1,0,1
182,Carolina Herrera,Perfume Gift Sets,5.0,-0.244131455399061,-0.4170726953810173,123.0,No,No,Yes,10.72954964240846,1,45,1,0,1,0,0,1,1
183,Carolina Herrera,Perfume,4.5,-0.1596244131455399,-0.1364256480218281,86.0,No,No,No,9.304217753435424,3,45,1,0,1,0,1,0,1
184,CHANEL,Perfume,4.5,5.633802816901408,21.34086922627168,105.0,No,No,No,10.080522838937371,3,57,1,0,1,0,1,0,1
185,CHANEL,Perfume,5.0,3.943661971830986,12.979925940362502,85.0,No,No,No,9.260148490029655,3,57,1,0,1,0,1,0,1
186,CHANEL,Cologne,5.0,0.9671361502347418,3.157279282790879,95.0,No,No,No,9.685517901520962,2,57,1,0,1,0,1,0,1
187,CHANEL,Cologne,5.0,0.5070422535211268,2.1438316117715845,77.0,No,No,No,8.893784278203992,2,57,1,0,1,0,1,0,1
188,CHANEL,Perfume,4.5,0.6572769953051644,2.78698109530306,105.0,No,No,No,10.080522838937371,3,57,1,0,1,0,1,0,1
189,CHANEL,Perfume,4.5,1.7746478873239435,5.028259598518807,115.0,No,No,No,10.449938475397245,3,57,1,0,1,0,1,0,1
190,CHANEL,Perfume,4.5,0.8262910798122066,3.059832391346716,115.0,No,No,No,10.449938475397245,3,57,1,0,1,0,1,0,1
191,CHANEL,Perfume,5.0,0.4976525821596244,2.825959851880725,105.0,No,No,No,10.080522838937371,3,57,1,0,1,0,1,0,1
192,CHANEL,Perfume Gift Sets,3.0,-0.1220657276995305,1.0329370493081271,80.0,No,Yes,Yes,9.034169117693915,1,57,1,0,0,1,0,1,1
193,CHANEL,Perfume,4.5,0.1032863849765258,0.7405963749756382,135.0,No,No,No,11.12595725714876,3,57,1,0,1,0,1,0,1
194,CHANEL,Perfume,4.0,2.647887323943662,4.424088871564997,135.0,No,No,No,11.12595725714876,3,57,1,0,1,0,1,0,1
195,CHANEL,Perfume,4.5,0.6197183098591549,3.020853634769051,105.0,No,No,No,10.080522838937371,3,57,1,0,1,0,1,0,1
196,CHANEL,Cologne,5.0,-0.0375586854460093,0.1559150263106607,125.0,No,No,No,10.797447773219952,2,57,1,0,1,0,1,0,1
197,CHANEL,Perfume,4.5,0.3286384976525822,1.2862989670629508,105.0,No,No,No,10.080522838937371,3,57,1,0,1,0,1,0,1
198,CHANEL,Perfume,4.5,0.3943661971830985,1.7150652894172675,85.0,No,No,No,9.260148490029655,3,57,1,0,1,0,1,0,1
199,CHANEL,Perfume Gift Sets,4.5,0.1408450704225352,1.3057883453517831,110.0,No,No,No,10.268177897608886,1,57,1,0,1,0,1,0,1
200,CHANEL,Cologne,5.0,-0.0375586854460093,0.1948937828883258,77.0,No,No,No,8.893784278203992,2,57,1,0,1,0,1,0,1
201,CHANEL,Cologne,5.0,0.0093896713615023,0.1559150263106607,75.0,No,No,No,8.798047900293017,2,57,1,0,1,0,1,0,1
202,CHANEL,Perfume,4.0,1.192488262910798,2.3387253946599103,105.0,No,No,No,10.080522838937371,3,57,1,0,1,0,1,0,1
203,CHANEL,Perfume,5.0,0.0187793427230046,0.7990645098421361,105.0,No,No,No,10.080522838937371,3,57,1,0,1,0,1,0,1
204,CHANEL,Perfume,4.5,-0.0657276995305164,0.233872539465991,85.0,No,No,No,9.260148490029655,3,57,1,0,1,0,1,0,1
205,CHANEL,Perfume,5.0,0.2535211267605634,1.500682128240109,85.0,No,No,No,9.260148490029655,3,57,1,0,1,0,1,0,1
206,CHANEL,Cologne,4.5,-0.1877934272300469,-0.0779575131553303,95.0,No,No,No,9.685517901520962,2,57,1,0,1,0,1,0,1
207,CHANEL,Perfume Gift Sets,3.5,-0.2253521126760563,-0.1364256480218281,200.0,Yes,No,Yes,12.926440913640182,1,57,0,1,1,0,0,1,1
208,CHANEL,Perfume,5.0,-0.1220657276995305,0.1364256480218281,85.0,No,No,No,9.260148490029655,3,57,1,0,1,0,1,0,1
209,CHANEL,Cologne Gift Sets,5.0,-0.1971830985915492,-0.1754044045994932,82.0,No,No,No,9.125718454601753,4,57,1,0,1,0,1,0,1
210,CHANEL,Perfume,4.5,-0.1032863849765258,0.1754044045994932,105.0,No,No,No,10.080522838937371,3,57,1,0,1,0,1,0,1
211,CHANEL,Cologne,4.5,-0.1502347417840375,-0.1559150263106607,75.0,No,No,No,8.798047900293017,2,57,1,0,1,0,1,0,1
212,CHANEL,Perfume,4.0,0.1032863849765258,0.8185538881309686,105.0,No,No,No,10.080522838937371,3,57,1,0,1,0,1,0,1
213,CHANEL,Perfume Gift Sets,5.0,-0.2347417840375587,-0.0389787565776651,190.0,Yes,No,Yes,12.679328397518558,1,57,0,1,1,0,0,1,1
214,CHANEL,Perfume,3.5,-0.1877934272300469,0.4092769440654843,130.0,No,No,No,10.963919948435288,3,57,1,0,1,0,1,0,1
215,CHANEL,Cologne Gift Sets,4.0,-0.1971830985915492,-0.1364256480218281,105.0,No,No,Yes,10.080522838937371,4,57,1,0,1,0,0,1,1
216,CHANEL,Perfume Gift Sets,4.0,-0.2347417840375587,0.2728512960436562,172.0,No,No,No,12.21048042833588,1,57,1,0,1,0,1,0,1
217,CHANEL,Perfume,4.5,0.2629107981220657,1.2862989670629508,85.0,No,No,No,9.260148490029655,3,57,1,0,1,0,1,0,1
218,CHANEL,Perfume,5.0,-0.1314553990610328,0.0194893782888325,85.0,No,No,No,9.260148490029655,3,57,1,0,1,0,1,0,1
219,CHANEL,Perfume Gift Sets,5.0,-0.2347417840375587,-0.2510231923601637,172.0,Yes,No,No,12.21048042833588,1,57,0,1,1,0,1,0,1
220,CHANEL,Perfume,2.5,-0.1971830985915492,-0.1754044045994932,70.0,Yes,No,Yes,8.550605122246802,3,57,0,1,1,0,0,1,0
221,CHANEL,Perfume,5.0,-0.2347417840375587,-0.1559150263106607,60.0,Yes,No,No,8.01579744448119,3,57,0,1,1,0,1,0,1
222,Chloé,Perfume,4.5,9.136150234741784,16.916780354706685,132.0,No,No,No,11.029250964463213,3,68,1,0,1,0,1,0,1
223,Chloé,Perfume,4.5,4.131455399061033,5.12570648996297,125.0,No,No,No,10.797447773219952,3,68,1,0,1,0,1,0,1
224,Chloé,Perfume,4.0,2.1690140845070425,2.358214772948743,132.0,No,No,No,11.029250964463213,3,68,1,0,1,0,1,0,1
225,Chloé,Perfume,4.5,1.568075117370892,2.124342233482752,132.0,No,No,No,11.029250964463213,3,68,1,0,1,0,1,0,1
226,Chloé,Perfume Gift Sets,3.0,-0.1314553990610328,0.4677450789319821,29.0,No,No,Yes,5.79980421045907,1,68,1,0,1,0,0,1,1
227,Chloé,Perfume,4.0,2.807511737089202,-0.1169362697329955,119.0,No,No,No,10.591393419318646,3,68,1,0,1,0,1,0,1
228,Chloé,Perfume,4.0,0.3286384976525822,0.8380432664198012,132.0,No,No,No,11.029250964463213,3,68,1,0,1,0,1,0,1
229,Chloé,Perfume,4.0,1.7183098591549295,-0.3229389982459559,142.0,Yes,No,No,11.345879430108056,3,68,0,1,1,0,1,0,1
230,Chloé,Perfume,4.5,-0.0657276995305164,0.1169362697329955,145.0,No,No,Yes,11.437805170767303,3,68,1,0,1,0,0,1,1
231,Chloé,Perfume,4.0,0.5352112676056338,-0.2541414928863769,95.0,No,No,No,9.685517901520962,3,68,1,0,1,0,1,0,1
232,Chloé,Perfume,4.5,0.0093896713615023,-0.0779575131553303,132.0,No,No,No,11.029250964463213,3,68,1,0,1,0,1,0,1
233,Chloé,Perfume,5.0,-0.215962441314554,-0.0584681348664977,115.0,No,No,No,10.449938475397245,3,68,1,0,1,0,1,0,1
234,Chloé,Perfume,4.5,-0.1877934272300469,-0.0779575131553303,115.0,No,No,No,10.449938475397245,3,68,1,0,1,0,1,0,1
235,CLEAN RESERVE,Perfume,4.5,-0.0469483568075117,-0.2143831611771584,98.0,No,Yes,Yes,9.806965006640148,3,22,1,0,0,1,0,1,1
236,CLEAN RESERVE,Perfume,4.5,1.0140845070422535,0.6236601052426428,98.0,No,Yes,No,9.806965006640148,3,22,1,0,0,1,1,0,1
237,CLEAN RESERVE,Fragrance,0.0,-0.2535211267605634,-0.1754044045994932,48.0,No,Yes,No,7.28390388000638,0,22,1,0,0,1,1,0,1
238,CLEAN RESERVE,Perfume,4.5,0.7323943661971831,0.6236601052426428,98.0,No,No,No,9.806965006640148,3,22,1,0,1,0,1,0,1
239,CLEAN RESERVE,Perfume,4.5,0.5633802816901409,0.6431494835314754,98.0,No,No,No,9.806965006640148,3,22,1,0,1,0,1,0,1
240,CLEAN RESERVE,Fragrance,5.0,-0.1971830985915492,-0.0974468914441629,28.0,No,Yes,No,5.70452318145842,0,22,1,0,0,1,1,0,1
241,CLEAN RESERVE,Perfume,4.0,0.2065727699530516,0.0779575131553303,98.0,No,Yes,No,9.806965006640148,3,22,1,0,0,1,1,0,1
242,CLEAN RESERVE,Perfume,3.0,1.6901408450704225,0.1364256480218281,98.0,No,No,No,9.806965006640148,3,22,1,0,1,0,1,0,1
243,CLEAN RESERVE,Perfume,4.5,2.732394366197183,1.5786396413954396,44.0,No,No,No,7.011452756585834,3,22,1,0,1,0,1,0,1
244,CLEAN RESERVE,Perfume,4.0,4.751173708920188,1.5396608848177744,74.0,No,No,No,8.749506568302204,3,22,1,0,1,0,1,0,1
245,CLEAN RESERVE,Perfume,4.0,0.8262910798122066,0.2533619177548236,98.0,No,No,No,9.806965006640148,3,22,1,0,1,0,1,0,1
246,CLEAN RESERVE,Perfume,4.5,0.3192488262910798,0.4677450789319821,98.0,No,No,No,9.806965006640148,3,22,1,0,1,0,1,0,1
247,CLEAN RESERVE,Perfume,4.0,0.9483568075117372,0.5262132137984799,74.0,No,No,No,8.749506568302204,3,22,1,0,1,0,1,0,1
248,CLEAN RESERVE,Perfume,4.0,0.8450704225352113,0.6431494835314754,74.0,No,No,No,8.749506568302204,3,22,1,0,1,0,1,0,1
249,CLEAN RESERVE,Perfume,4.0,0.8356807511737089,0.2533619177548236,98.0,No,No,No,9.806965006640148,3,22,1,0,1,0,1,0,1
250,CLEAN RESERVE,Perfume,3.5,2.112676056338028,0.6236601052426428,74.0,No,No,No,8.749506568302204,3,22,1,0,1,0,1,0,1
251,CLEAN RESERVE,Perfume,4.0,1.812206572769953,0.3508088091989865,74.0,No,No,No,8.749506568302204,3,22,1,0,1,0,1,0,1
252,CLEAN RESERVE,Perfume,4.0,1.164319248826291,0.1754044045994932,74.0,No,No,No,8.749506568302204,3,22,1,0,1,0,1,0,1
253,CLEAN RESERVE,Perfume,4.0,0.3192488262910798,0.233872539465991,98.0,No,No,No,9.806965006640148,3,22,1,0,1,0,1,0,1
254,CLEAN RESERVE,Perfume Gift Sets,4.0,-0.1784037558685446,-0.1364256480218281,20.0,No,Yes,Yes,4.839800743255356,1,22,1,0,0,1,0,1,1
255,CLEAN RESERVE,Perfume,4.5,-0.1314553990610328,-0.0194893782888325,74.0,No,No,No,8.749506568302204,3,22,1,0,1,0,1,0,1
256,CLEAN RESERVE,Perfume,4.0,0.0375586854460093,0.2728512960436562,74.0,No,No,No,8.749506568302204,3,22,1,0,1,0,1,0,1
