,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
572,Kilian,Perfume,4.0,0.14084507042253522,0.9939582927304619,295.0,Yes,No,No,14.926893139688774
573,Kilian,Perfume,4.5,1.539906103286385,1.0134476710192946,135.0,No,No,No,11.12595725714876
574,Kilian,Perfume,4.5,0.16901408450704225,0.7211069966868057,240.0,No,No,No,13.836036628506331
575,Kilian,Perfume Gift Sets,5.0,-0.11267605633802817,-0.019489378288832588,75.0,No,Yes,Yes,8.798047900293017
576,Kilian,Perfume,4.5,-0.12206572769953052,0.35080880919898655,240.0,Yes,No,No,13.836036628506331
577,Kilian,Perfume,4.5,-0.215962441314554,-0.2720717209121029,240.0,Yes,No,No,13.836036628506331
578,Kilian,Perfume,4.0,0.22535211267605634,0.07795751315533035,135.0,No,No,No,11.12595725714876
579,Kilian,Perfume,4.0,-0.19718309859154928,-0.17540440459949327,240.0,No,No,No,13.836036628506331
580,Kilian,Perfume,4.5,-0.07511737089201878,-0.1364256480218281,135.0,No,Yes,No,11.12595725714876
581,Kilian,Perfume,5.0,-0.20657276995305165,-0.1559150263106607,240.0,Yes,No,No,13.836036628506331
582,Kilian,Perfume,5.0,-0.20657276995305165,-0.25375170532060026,240.0,No,No,No,13.836036628506331
583,Kilian,Perfume,4.5,0.0,-0.19489378288832587,135.0,No,No,No,11.12595725714876
584,Kilian,Perfume,4.5,-0.19718309859154928,-0.038978756577665176,240.0,Yes,No,No,13.836036628506331
585,Kilian,Perfume,4.5,0.009389671361502348,0.17540440459949327,135.0,No,No,No,11.12595725714876
586,Kilian,Perfume Gift Sets,3.5,-0.14084507042253522,0.019489378288832588,22.0,No,Yes,No,5.076002742512173
587,Kilian,Perfume Gift Sets,5.0,-0.24413145539906103,-0.29935685051646854,195.0,Yes,No,No,12.803996490638076
588,Kilian,Perfume,4.5,-0.1596244131455399,-0.21438316117715844,240.0,Yes,No,No,13.836036628506331
589,Kilian,Perfume,0.0,-0.2535211267605634,-0.41336971350613916,210.0,Yes,No,Yes,13.165027822642497
590,KVD Vegan Beauty,Perfume,4.5,27.91549295774648,8.06860261157669,85.0,No,Yes,No,9.260148490029655
591,KVD Vegan Beauty,Perfume,4.0,9.136150234741784,4.911323328785811,85.0,No,Yes,No,9.260148490029655
592,KVD Vegan Beauty,Perfume Gift Sets,4.0,-0.18779342723004694,0.7211069966868057,19.0,No,Yes,No,4.71543474776668
593,Lancôme,Perfume,4.5,7.830985915492958,7.269538101734555,99.0,No,No,No,9.846867029289216
594,Lancôme,Perfume,4.5,4.582159624413146,1.0719158058857923,96.0,No,No,No,9.726295563932634
595,Lancôme,Perfume Gift Sets,5.0,-0.24413145539906103,-0.3525628532449815,69.0,Yes,No,No,8.499638387058544
596,Lancôme,Perfume,4.5,0.0,0.4092769440654843,99.0,No,No,No,9.846867029289216
597,Lancôme,Perfume,4.0,0.5446009389671361,0.5457025920873124,91.0,No,No,No,9.519327839948668
598,Lancôme,Perfume,4.5,0.6948356807511737,0.9354901578639642,65.0,No,No,No,8.290427086042193
599,Lancôme,Perfume,4.5,-0.1784037558685446,-0.2566751120639252,133.0,No,No,No,11.061656221296138
600,Maison Louis Marie,Perfume,4.0,0.28169014084507044,0.35080880919898655,85.0,No,No,No,9.260148490029655
601,Maison Louis Marie,Perfume Gift Sets,2.5,-0.2347417840375587,-0.31767686610797113,30.0,Yes,Yes,No,5.892806489984965
602,Maison Louis Marie,Perfume Gift Sets,4.0,-0.056338028169014086,0.21438316117715844,48.0,No,Yes,Yes,7.28390388000638
603,Maison Louis Marie,Perfume Gift Sets,3.0,-0.24413145539906103,-0.3219645293315143,55.0,Yes,No,No,7.72460071065679
604,Maison Louis Marie,Perfume Gift Sets,4.0,-0.2347417840375587,-0.19489378288832587,18.0,Yes,Yes,Yes,4.586386148823696
605,Maison Louis Marie,Perfume,5.0,-0.18779342723004694,-0.24576106022217892,85.0,No,No,No,9.260148490029655
606,Maison Louis Marie,Perfume Gift Sets,5.0,-0.20657276995305165,-0.17540440459949327,110.0,Yes,Yes,Yes,10.268177897608886
