,brand,category,size,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
138,BURBERRY,Perfume,0.25 oz/ 7.5 mL,5.0,6,0,30.0,Yes,No,No,5.892806489984965
139,BURBERRY,Cologne,3.3 oz/ 100 mL,4.5,5,457,84.0,No,No,No,9.215713848773868
140,BVLGARI,Perfume,2.5 oz/ 75 mL,4.5,215,13600,98.0,No,No,No,9.806965006640148
141,BVLGARI,Perfume,2.2 oz/ 65 mL,4.5,474,17700,86.0,No,No,No,9.304217753435424
142,BVLGARI,Cologne,2 oz/ 60 mL,5.0,14,1600,86.0,No,No,No,9.304217753435424
143,BVLGARI,Cologne,3.4 oz/ 101 mL,5.0,31,3300,94.0,No,No,No,9.64443787350625
144,BVLGARI,Perfume,5 oz,4.5,145,5600,162.0,Yes,No,No,11.934956229423438
145,BVLGARI,Perfume,2.2 oz/ 65 mL,4.5,181,8500,86.0,No,No,No,9.304217753435424
146,BVLGARI,Perfume,2.2 oz/ 65 mL,3.5,21,1700,86.0,No,No,No,9.304217753435424
147,BVLGARI,Cologne,2 oz/ 60 mL,5.0,18,719,72.0,No,No,No,8.651025360870298
148,BVLGARI,Perfume,2.5 oz/ 75 mL,1.0,1,558,114.0,Yes,No,No,10.414036550325743
149,BVLGARI,Cologne,3.4 oz/ 100mL,4.5,7,459,113.0,Yes,No,No,10.377912920217973
150,BVLGARI,Cologne,3.4 oz/ 100 mL,5.0,64,2200,94.0,No,No,No,9.64443787350625
151,BVLGARI,Perfume Gift Sets,no size,4.0,4,833,71.0,Yes,No,Yes,8.601063404203895
152,BVLGARI,Cologne,3.4 oz/ 100 mL,0.0,0,50,113.0,Yes,No,No,10.377912920217973
153,BVLGARI,Cologne,3.4 oz/ 100 mL,5.0,97,1700,94.0,No,No,No,9.64443787350625
154,BVLGARI,Cologne,2.0 oz,5.0,4,446,72.0,Yes,No,No,8.651025360870298
155,BVLGARI,Cologne,3.4 oz/ 100 mL,4.5,43,1000,95.0,Yes,No,No,9.685517901520962
156,BVLGARI,Cologne,3.4 oz/ 100 mL,5.0,5,453,94.0,No,No,No,9.64443787350625
157,BVLGARI,Perfume,1.7 oz/ 50 mL,4.5,15,1600,95.0,Yes,No,No,9.685517901520962
158,By Rosie Jane,Perfume,1.7 oz/ 50 mL,4.0,64,2700,65.0,No,No,No,8.290427086042193
159,By Rosie Jane,Perfume,1.7 oz/ 50 mL,3.0,23,682,65.0,No,No,No,8.290427086042193
160,By Rosie Jane,Perfume Gift Sets,5 x 0.10 oz/ 3 mL,4.5,24,3900,30.0,No,Yes,No,5.892806489984965
161,By Rosie Jane,Perfume,0.25 oz/ 7.5 mL,5.0,9,854,25.0,No,No,No,5.403531282328869
162,By Rosie Jane,Perfume,1.7 oz/ 50 mL,3.0,6,158,65.0,No,No,No,8.290427086042193
163,By Rosie Jane,Perfume Gift Sets,5 x 2 mL,3.0,1,331,50.0,Yes,No,Yes,7.414182971912106
164,By Rosie Jane,Perfume,1.7 oz/ 50 mL,4.0,5,721,65.0,No,No,No,8.290427086042193
165,By Rosie Jane,Perfume,0.25 oz/ 7.5 mL,5.0,1,306,25.0,No,No,No,5.403531282328869
166,By Rosie Jane,Perfume,1.7 oz/ 50 mL,4.5,19,1600,65.0,No,No,No,8.290427086042193
167,Calvin Klein,Perfume,1.7 oz/ 50 mL,4.5,570,10600,79.0,No,No,No,8.987791050934973
168,Calvin Klein,Perfume,3.4 oz/ 100 mL,4.5,186,5900,65.0,No,No,No,8.290427086042193
169,Calvin Klein,Cologne,3.4 oz/ 100 mL,4.5,116,1500,83.0,No,No,No,9.170906395896623
170,Calvin Klein,Perfume,1.7 oz/ 50 mL,4.0,285,2700,73.0,Yes,No,No,8.700502667256274
171,Calvin Klein,Perfume,0.33 oz/ 10 mL,4.5,17,1500,26.0,Yes,No,No,5.506549404048792
172,Calvin Klein,Cologne,2.5 oz/ 75 mL,4.5,2,453,66.0,Yes,No,No,8.343558863768457
173,Calvin Klein,Perfume,1.7 oz/ 50 mL,4.5,4,862,77.0,Yes,No,No,8.893784278203992
174,Carolina Herrera,Perfume,1.7 oz/ 50 mL,4.5,265,24200,96.0,Yes,No,No,9.726295563932634
175,Carolina Herrera,Perfume,1.7oz/ 50mL,4.5,28,3100,96.0,Yes,No,No,9.726295563932634
176,Carolina Herrera,Perfume,2.7 oz/ 80 mL,4.0,1,594,124.0,No,No,No,10.76359478028962
177,Carolina Herrera,Perfume Gift Sets,no size,5.0,1,669,122.0,No,No,Yes,10.69530969343442
178,Carolina Herrera,Cologne,1.7 oz,5.0,80,2300,72.0,No,No,No,8.651025360870298
179,Carolina Herrera,Perfume,2 oz,4.0,150,4100,84.0,No,No,No,9.215713848773868
180,Carolina Herrera,Perfume,2 oz,4.5,127,2900,86.0,No,No,No,9.304217753435424
181,Carolina Herrera,Cologne,3.4 oz,4.5,48,656,92.0,No,Yes,No,9.561348581144525
182,Carolina Herrera,Perfume Gift Sets,no size,5.0,1,60,123.0,No,No,Yes,10.72954964240846
183,Carolina Herrera,Perfume,1.7 oz,4.5,10,1500,86.0,No,No,No,9.304217753435424
184,CHANEL,Perfume,1.7 oz/ 50 mL,4.5,627,111700,105.0,No,No,No,10.080522838937373
185,CHANEL,Perfume,1.7 oz,5.0,447,68800,85.0,No,No,No,9.260148490029655
186,CHANEL,Cologne,1.7 oz,5.0,130,18400,95.0,No,No,No,9.685517901520962
187,CHANEL,Cologne,1.7 oz,5.0,81,13200,77.0,No,No,No,8.893784278203992
188,CHANEL,Perfume,1.7oz/50mL,4.5,97,16500,105.0,No,No,No,10.080522838937373
189,CHANEL,Perfume,3.4 oz,4.5,216,28000,115.0,No,No,No,10.449938475397243
190,CHANEL,Perfume,1.7 oz/ 50 mL,4.5,115,17900,115.0,No,No,No,10.449938475397243
191,CHANEL,Perfume,1.7 oz,5.0,80,16700,105.0,No,No,No,10.080522838937373
192,CHANEL,Perfume Gift Sets,4 x 0.04 oz,3.0,14,7500,80.0,No,Yes,Yes,9.034169117693915
193,CHANEL,Perfume,3.4 oz/ 100 mL,4.5,38,6000,135.0,No,No,No,11.125957257148759
194,CHANEL,Perfume,3.4 oz/ 100 mL,4.0,309,24900,135.0,No,No,No,11.125957257148759
195,CHANEL,Perfume,1.7 oz,4.5,93,17700,105.0,No,No,No,10.080522838937373
196,CHANEL,Cologne,1.7oz / 50mL ,5.0,23,3000,125.0,No,No,No,10.797447773219952
197,CHANEL,Perfume,1.7 oz,4.5,62,8800,105.0,No,No,No,10.080522838937373
198,CHANEL,Perfume,1.7 oz,4.5,69,11000,85.0,No,No,No,9.260148490029655
199,CHANEL,Perfume Gift Sets,3 x 0.7 oz,4.5,42,8900,110.0,No,No,No,10.268177897608886
200,CHANEL,Cologne,1.7 oz,5.0,23,3200,77.0,No,No,No,8.893784278203992
201,CHANEL,Cologne,1.7 oz,5.0,28,3000,75.0,No,No,No,8.798047900293017
202,CHANEL,Perfume,1.7 oz/ 50 mL,4.0,154,14200,105.0,No,No,No,10.080522838937373
203,CHANEL,Perfume,1.7 oz,5.0,29,6300,105.0,No,No,No,10.080522838937373
204,CHANEL,Perfume,1.7 oz,4.5,20,3400,85.0,No,No,No,9.260148490029655
205,CHANEL,Perfume,1.7 oz,5.0,54,9900,85.0,No,No,No,9.260148490029655
206,CHANEL,Cologne,1.7 oz,4.5,7,1800,95.0,No,No,No,9.685517901520962
207,CHANEL,Perfume Gift Sets,3.4 oz/ 100 mL & 6.8 oz/ 200 mL,3.5,3,1500,200.0,Yes,No,Yes,12.926440913640182
208,CHANEL,Perfume,1.7 oz,5.0,14,2900,85.0,No,No,No,9.260148490029655
209,CHANEL,Cologne Gift Sets,3 x 0.7 oz,5.0,6,1300,82.0,No,No,No,9.125718454601753
210,CHANEL,Perfume,1.7 oz,4.5,16,3100,105.0,No,No,No,10.080522838937373
211,CHANEL,Cologne,1.7 oz,4.5,11,1400,75.0,No,No,No,8.798047900293017
212,CHANEL,Perfume,1.7 oz,4.0,38,6400,105.0,No,No,No,10.080522838937373
213,CHANEL,Perfume Gift Sets,no size,5.0,2,2000,190.0,Yes,No,Yes,12.679328397518558
214,CHANEL,Perfume,0.25 oz,3.5,7,4300,130.0,No,No,No,10.963919948435288
215,CHANEL,Cologne Gift Sets,3 x 0.70 oz/ 20 mL,4.0,6,1500,105.0,No,No,Yes,10.080522838937373
216,CHANEL,Perfume Gift Sets,no size,4.0,2,3600,172.0,No,No,No,12.21048042833588
217,CHANEL,Perfume,1.7 oz/ 50 mL,4.5,55,8800,85.0,No,No,No,9.260148490029655
218,CHANEL,Perfume,1.7 oz,5.0,13,2300,85.0,No,No,No,9.260148490029655
219,CHANEL,Perfume Gift Sets,no size,5.0,2,912,172.0,Yes,No,No,12.21048042833588
220,CHANEL,Perfume,0.18 oz,2.5,6,1300,70.0,Yes,No,Yes,8.550605122246802
